"spider_id","site","site_type","sex","weight","days_noweb_lab","trial_num","poke_score","percent_time_moving","tot_prey_attack","mean_Tactive_lab","ln_weight","ln_poke_score","ln_tot_prey_attack","ln_Tactive_lab","Tactive_lab","z_ln_weight","z_poke_score","z_ln_tot_prey_attack","z_ln_Tactive_lab","in_situ","z_days_noweb","landPC1","landsub_pc1","mh_pc1"
"H07","Hoebeck","Rural","F",0.38,6,1,NA,0,NA,0,-0.967584026261706,NA,NA,-0.693147180559945,0,1.70144068503943,NA,NA,-1.71713179040034,0,2.4214204682091,-0.859158082852416,-0.239170180019783,-0.361480941888394
"H08","Hoebeck","Rural","F",0.27,2,1,NA,0.82,NA,4.92,-1.30933331998376,NA,NA,1.69009581545155,4.92,1.41572722534626,NA,NA,-0.696361203514526,0,0.168297309137937,-0.859158082852416,-0.239170180019783,-0.361480941888394
"H09","Hoebeck","Rural","F",0.05,2,1,4.5,54.19,35,325.14,-2.99573227355399,1.6094379124341,3.56953269648137,5.78579247670578,325.14,0.00584317203971949,0.654498999412633,0.840470792233776,1.05787312828105,0,0.168297309137937,-0.859158082852416,-0.239170180019783,-0.361480941888394
"H10","Hoebeck","Rural","F",0.09,4,1,NA,38.4,NA,230.4,-2.40794560865187,NA,NA,5.44198471636045,230.4,0.497251829426093,NA,NA,0.910616281249118,0,1.29485888867352,-0.859158082852416,-0.239170180019783,-0.361480941888394
"H11","Hoebeck","Rural","M",0.03,3,1,2,6.4,22,38.4,-3.50655789731998,0.916290731874155,3.11351530921037,3.6609942506244,38.4,-0.421223566494072,-0.784531913203222,0.247237654213644,0.14779743063677,0,0.731578098905727,-0.859158082852416,-0.239170180019783,-0.361480941888394
"H12","Hoebeck","Rural","M",0.03,6,1,NA,54.42,NA,326.52,-3.50655789731998,NA,NA,5.79002133110644,326.52,-0.421223566494072,NA,NA,1.05968439561537,0,2.4214204682091,-0.859158082852416,-0.239170180019783,-0.361480941888394
"H13","Hoebeck","Rural","F",0.04,1,1,4,35.02,23,210.12,-3.2188758248682,1.50407739677627,3.15700042115011,5.35005556195245,210.12,-0.180712051995524,0.366692816889462,0.303807447676011,0.871241959346561,0,-0.394983480629853,-0.859158082852416,-0.239170180019783,-0.361480941888394
"I01","Lundugsbrucken","Urban","F",0.12,1,1,8,9.39,22,56.34,-2.12026353620009,2.14006616349627,3.11351530921037,4.0402403032289,56.34,0.737763343924642,2.66914227707483,0.247237654213644,0.310232908823046,0,-0.394983480629853,-0.317965058693592,1.98025088884125,-0.631867400018195
"I02","Lundugsbrucken","Urban","F",0.1,2,1,7,NA,40,NA,-2.30258509299405,2.01490302054226,3.70130197411249,NA,NA,0.585336627249076,2.09352991202849,1.01188947986663,NA,0,0.168297309137937,-0.317965058693592,1.98025088884125,-0.631867400018195
"I03","Lundugsbrucken","Urban","F",0.08,0,1,2,10.59,15,63.54,-2.52572864430826,0.916290731874155,2.7408400239252,4.15950788812851,63.54,0.398781403213833,-0.784531913203222,-0.237575721599345,0.361316597241801,0,-0.958264270397643,-0.317965058693592,1.98025088884125,-0.631867400018195
"I04","Lundugsbrucken","Urban","F",0.02,3,1,NA,74.6,NA,447.6,-3.91202300542815,NA,NA,6.1050164217921,447.6,-0.760205507204881,NA,NA,1.19460044241524,0,0.731578098905727,-0.317965058693592,1.98025088884125,-0.631867400018195
"I05","Lundugsbrucken","Urban","F",0.04,1,1,0,1.73,19,10.38,-3.2188758248682,-0.693147180559945,2.9704144655697,2.3869262414278,10.38,-0.180712051995524,-1.93575664329591,0.0610777294039437,-0.397900658755109,0,-0.394983480629853,-0.317965058693592,1.98025088884125,-0.631867400018195
"I06","Lundugsbrucken","Urban","F",0.05,2,1,2,24.1,39,144.6,-2.99573227355399,0.916290731874155,3.67630067190708,4.97742315989014,144.6,0.00584317203971949,-0.784531913203222,0.979365279307814,0.711639184311708,0,0.168297309137937,-0.317965058693592,1.98025088884125,-0.631867400018195
"I07","Lundugsbrucken","Urban","M",0.03,2,1,NA,43.07,NA,258.42,-3.50655789731998,NA,NA,5.55651913367731,258.42,-0.421223566494072,NA,NA,0.95967269915481,0,0.168297309137937,-0.317965058693592,1.98025088884125,-0.631867400018195
"I08","Lundugsbrucken","Urban","F",0.17,3,1,NA,18.61,NA,111.66,-1.77195684193188,NA,NA,4.71992642328628,111.66,1.02895900250178,NA,NA,0.60135034872751,0,0.731578098905727,-0.317965058693592,1.98025088884125,-0.631867400018195
"I09","Lundugsbrucken","Urban","F",0.01,1,1,2,12.34,16,74.04,-4.60517018598809,0.916290731874155,2.80336038090653,4.31133589405111,74.04,-1.33969896241424,-0.784531913203222,-0.156242972898396,0.426346291222098,0,-0.394983480629853,-0.317965058693592,1.98025088884125,-0.631867400018195
"I10","Lundugsbrucken","Urban","F",0.03,3,1,NA,34.38,NA,206.28,-3.50655789731998,NA,NA,5.33165542615855,206.28,-0.421223566494072,NA,NA,0.863360968006377,0,0.731578098905727,-0.317965058693592,1.98025088884125,-0.631867400018195
"J01","Staarlandstrasse","Urban","F",0.13,0,1,4,0,NA,0,-2.04022082852655,1.50407739677627,NA,-0.693147180559945,0,0.804681635645283,0.366692816889462,NA,-1.71713179040034,0,-0.958264270397643,1.89701902419009,-0.553362450231473,-0.649799687569477
"J02","Staarlandstrasse","Urban","I",0.01,0,1,NA,10.26,NA,61.56,-4.60517018598809,NA,NA,4.12810165902023,61.56,-1.33969896241424,NA,NA,0.347864945449525,0,-0.958264270397643,1.89701902419009,-0.553362450231473,-0.649799687569477
"J03","Staarlandstrasse","Urban","I",0.01,5,1,NA,1.63,NA,9.78,-4.60517018598809,NA,NA,2.33020026002702,9.78,-1.33969896241424,NA,NA,-0.422197053802971,0,1.85813967844131,1.89701902419009,-0.553362450231473,-0.649799687569477
"J04","Staarlandstrasse","Urban","M",0.01,0,1,NA,23.92,NA,143.52,-4.60517018598809,NA,NA,4.96995217882072,143.52,-1.33969896241424,NA,NA,0.708439276562642,0,-0.958264270397643,1.89701902419009,-0.553362450231473,-0.649799687569477
"J05","Staarlandstrasse","Urban","F",0.02,0,1,1,12.32,NA,73.92,-3.91202300542815,0.405465108108164,NA,4.30972472291848,73.92,-0.760205507204881,-1.36014427824956,NA,0.42565620795934,0,-0.958264270397643,1.89701902419009,-0.553362450231473,-0.649799687569477
"J06","Staarlandstrasse","Urban","F",0.02,1,1,1,1.77,NA,10.62,-3.91202300542815,0.405465108108164,NA,2.40874528882244,10.62,-0.760205507204881,-1.36014427824956,NA,-0.388555307965622,0,-0.394983480629853,1.89701902419009,-0.553362450231473,-0.649799687569477
"K01","Staats forest","Rural","F",0.07,2,1,NA,19.65,NA,117.9,-2.65926003693278,NA,NA,4.7740687224499,117.9,0.287144841367918,NA,NA,0.624540122739263,0,0.168297309137937,-0.381942829279065,-0.534839310089476,-0.768152785407939
"K02","Staats forest","Rural","F",0.27,0,1,3,38.69,NA,232.14,-1.30933331998376,1.25276296849537,NA,5.44949219434515,232.14,1.41572722534626,-0.20891954815688,NA,0.913831821049845,0,-0.958264270397643,-0.381942829279065,-0.534839310089476,-0.768152785407939
